Gr_Liv_Area;Year_Built;Overall_Qual;Foundation;Total_Bsmt_SF;Mas_Vnr_Type;Lot_Area;Garage_Cars;Sale_Price
1656;1960;Above_Average;CBlock;1080;Stone;31770;2;215000
896;1961;Average;CBlock;882;None;11622;1;105000
1329;1958;Above_Average;CBlock;1329;BrkFace;14267;1;172000
2110;1968;Good;CBlock;2110;None;11160;2;244000
1629;1997;Average;PConc;928;None;13830;2;189900
1604;1998;Above_Average;PConc;926;BrkFace;9978;2;195500
1338;2001;Very_Good;PConc;1338;None;4920;2;213500
1280;1992;Very_Good;PConc;1280;None;5005;2;191500
1616;1995;Very_Good;PConc;1595;None;5389;2;236500
1804;1999;Good;PConc;994;None;7500;2;189000
1655;1993;Above_Average;PConc;763;None;10000;2;175900
1187;1992;Above_Average;PConc;1168;None;7980;2;185000
1465;1998;Above_Average;PConc;789;None;8402;2;180400
1341;1990;Good;PConc;1300;None;10176;2;171500
1502;1985;Very_Good;PConc;1488;None;6820;2;212000
3279;2003;Very_Good;PConc;1650;BrkFace;53504;3;538000
1752;1988;Very_Good;Wood;559;None;12134;2;164000
1856;2010;Excellent;PConc;1856;Stone;11394;3;394432
864;1951;Below_Average;CBlock;864;None;19138;2;141000
2073;1978;Above_Average;CBlock;1542;Stone;13175;2;210000
1844;1977;Above_Average;CBlock;1844;BrkFace;11751;2;190000
1173;1974;Good;CBlock;1053;BrkFace;10625;2;170000
1674;2000;Good;PConc;814;None;7500;2;216000
1004;1970;Above_Average;CBlock;1004;BrkFace;11241;2;149000
1078;1971;Average;CBlock;1078;None;12537;2;149900
1056;1968;Average;CBlock;1056;None;8450;1;142000
882;1970;Below_Average;CBlock;882;None;8400;2;126000
864;1971;Below_Average;CBlock;864;None;10500;0;115000
1337;1999;Good;PConc;1405;None;5858;2;184000
987;1971;Above_Average;CBlock;483;BrkFace;1680;1;96000
1092;1971;Average;CBlock;525;BrkFace;1680;1;105500
1092;1971;Above_Average;CBlock;525;BrkFace;1680;1;88000
1069;1977;Above_Average;CBlock;1069;None;4043;2;127500
1456;1975;Above_Average;CBlock;855;None;2280;2;149900
836;1975;Good;CBlock;836;None;2280;1;120000
1456;1978;Above_Average;CBlock;855;None;2280;2;146000
2334;2009;Excellent;PConc;1590;Stone;12858;3;376162
1704;2007;Very_Good;PConc;1704;Stone;11478;3;306000
1940;2009;Excellent;PConc;1930;Stone;10159;3;395192
1544;2009;Very_Good;PConc;1544;Stone;12883;3;290941
1541;2005;Good;PConc;1541;BrkFace;12182;2;220000
1698;2005;Excellent;PConc;1698;BrkFace;11520;3;275000
1822;2005;Very_Good;PConc;1822;BrkFace;14122;3;259000
1535;2004;Good;PConc;1517;BrkFace;10171;2;214000
2364;2009;Excellent;PConc;2330;Stone;12919;3;611657
1358;2009;Good;PConc;1358;Stone;6371;2;224000
2696;2003;Excellent;PConc;2846;BrkFace;14300;3;500000
2250;2002;Very_Good;PConc;1671;BrkFace;13650;3;320000
1752;2005;Excellent;PConc;1752;BrkFace;7658;2;319900
1370;2006;Very_Good;PConc;1370;Stone;7132;2;205000
1626;2003;Good;PConc;764;Stone;2628;2;175500
1324;2005;Above_Average;PConc;1324;None;18494;2;199500
1145;2006;Good;PConc;1145;BrkFace;3203;2;160000
1269;2004;Very_Good;PConc;1256;BrkFace;3182;2;192000
1374;2004;Good;PConc;384;None;13300;2;184500
1960;2002;Above_Average;PConc;860;None;7851;2;216500
1733;2004;Good;PConc;847;None;8577;2;185088
1430;2000;Good;PConc;384;None;7750;2;180000
2035;2001;Good;PConc;884;BrkFace;9505;2;222500
2599;1999;Excellent;PConc;1393;BrkFace;14774;3;333168
2475;1998;Very_Good;PConc;1629;BrkFace;17433;3;355000
1720;1996;Good;PConc;1720;BrkFace;10593;2;260400
